participant,daysBetween,condition,stimuliType,stimSet,meanValenceRating,meanArousalRating,meanValenceRT,meanArousalRT,meanZValenceRating,meanZArousalRating,Ntrial,KVIQ_Visual_Score,KVIQ_Kinesthetic_Score,GoldMSI_ActiveEngagement_63,GoldMSI_PerceptualAbilities_63,GoldMSI_MusicalTraining_49,GoldMSI_Emotions_42,GoldMSI_SingingAbilities_49,GoldMSI_GeneralMusicalSophistication_126
P17,7,Sham,Low Valence - High Arousal,Set2,3,7.25,3.819607863,2.218427762,-0.94750033,0.620636945,8,24,25,31,42,12,31,30,63
P17,7,Sham,Low Valence - Low Arousal,Set2,3.375,3.875,3.401048225,3.8911914,-0.800790602,-0.92025478,8,24,25,31,42,12,31,30,63
P18,12,Active,High Valence - High Arousal,Set1,8,8.5,1.378916213,1.600106988,1.338285145,0.706044407,8,24,23,55,60,35,41,47,114
P18,12,Active,High Valence - Low Arousal,Set1,5.625,4.875,2.451991475,1.25402475,0.497709352,-1.055270673,8,24,23,55,60,35,41,47,114
P18,12,Active,Low Valence - High Arousal,Set1,1.625,7.875,1.919254488,1.84965525,-0.917997248,0.402369393,8,24,23,55,60,35,41,47,114
P18,12,Active,Low Valence - Low Arousal,Set1,2.5,6.375,1.988645225,0.823784863,-0.60831143,-0.32645064,8,24,23,55,60,35,41,47,114
P18,12,Sham,High Valence - High Arousal,Set1,8.125,8.875,2.345814238,3.549831062,1.382525976,0.888249415,8,24,23,55,60,35,41,47,114
P18,12,Sham,High Valence - Low Arousal,Set1,4,4.625,5.9211975,5.118552587,-0.077421455,-1.176740678,8,24,23,55,60,35,41,47,114
P18,12,Sham,Low Valence - High Arousal,Set1,2,8,3.194540975,3.225411712,-0.785274755,0.463104396,8,24,23,55,60,35,41,47,114
P18,12,Sham,Low Valence - Low Arousal,Set1,1.875,7.25,2.5828074,7.493372175,-0.829515586,0.098694379,8,24,23,55,60,35,41,47,114
P19,7,Active,High Valence - High Arousal,Set1,7.75,7.5,6.1667495,3.355196262,1.229269386,0.956474051,8,17,14,31,48,26,33,40,89
P19,7,Active,High Valence - Low Arousal,Set1,4.125,2.25,6.224219237,7.692092413,-0.155150505,-1.259907198,8,17,14,31,48,26,33,40,89
P19,7,Active,Low Valence - High Arousal,Set1,2,5.5,3.299892275,3.318934937,-0.966706993,0.112138337,8,17,14,31,48,26,33,40,89
P19,7,Active,Low Valence - Low Arousal,Set1,3,4.375,5.935721675,2.761265113,-0.584798057,-0.362800502,8,17,14,31,48,26,33,40,89
P19,7,Sham,High Valence - High Arousal,Set1,8.625,8.25,1.398852187,3.189136688,1.563439704,1.273099944,8,17,14,31,48,26,33,40,89
P19,7,Sham,High Valence - Low Arousal,Set1,5.375,3.125,3.088203888,6.425774575,0.322235664,-0.890510323,8,17,14,31,48,26,33,40,89
P19,7,Sham,Low Valence - High Arousal,Set1,2.25,6.75,3.533544712,3.098200612,-0.871229759,0.639848158,8,17,14,31,48,26,33,40,89
P19,7,Sham,Low Valence - Low Arousal,Set1,3.125,4.125,3.12511215,3.69806875,-0.53705944,-0.468342466,8,17,14,31,48,26,33,40,89
P20,14,Active,High Valence - High Arousal,Set1,7.875,7,3.809123725,1.968173538,1.365401279,0.756512423,8,18,22,45,44,16,36,30,76
P20,14,Active,High Valence - Low Arousal,Set1,5,4.125,4.07656095,2.79237775,-0.537885352,-0.98346615,8,18,22,45,44,16,36,30,76
P20,14,Active,Low Valence - High Arousal,Set1,4.5,7.25,3.065026688,1.901976062,-0.868891723,0.907814908,8,18,22,45,44,16,36,30,76
P20,14,Active,Low Valence - Low Arousal,Set1,5.625,5.625,4.77016395,2.244461813,-0.124127389,-0.075651242,8,18,22,45,44,16,36,30,76
P20,14,Sham,High Valence - High Arousal,Set1,7.375,6.5,2.6709446,4.073994675,1.034394908,0.453907454,8,18,22,45,44,16,36,30,76
P20,14,Sham,High Valence - Low Arousal,Set1,5.5,4,5.311139237,5.563233512,-0.206878982,-1.059117393,8,18,22,45,44,16,36,30,76
P20,14,Sham,Low Valence - High Arousal,Set1,5.375,6.625,2.868474637,3.672400663,-0.289630574,0.529558696,8,18,22,45,44,16,36,30,76
P20,14,Sham,Low Valence - Low Arousal,Set1,5.25,4.875,3.097829513,3.983825425,-0.372382167,-0.529558696,8,18,22,45,44,16,36,30,76
P21,7,Active,High Valence - High Arousal,Set2,6.5,7,2.894899475,5.00454075,0.950024947,0.925207148,8,19,15,30,53,36,35,26,76
P21,7,Active,High Valence - Low Arousal,Set2,5.5,3.25,1.740363825,2.9338318,0.381785726,-0.894872488,8,19,15,30,53,36,35,26,76
P21,7,Active,Low Valence - High Arousal,Set2,3.125,6.75,1.791667025,2.636734525,-0.967782422,0.803868506,8,19,15,30,53,36,35,26,76
P21,7,Active,Low Valence - Low Arousal,Set2,4.125,3.375,2.3079581,4.724439738,-0.399543202,-0.834203166,8,19,15,30,53,36,35,26,76
P21,7,Sham,High Valence - High Arousal,Set2,7.125,7.25,2.846357138,2.746779263,1.305174459,1.046545791,8,19,15,30,53,36,35,26,76
P21,7,Sham,High Valence - Low Arousal,Set2,5.625,3.5,3.803506137,2.119075725,0.452815629,-0.773533845,8,19,15,30,53,36,35,26,76
P21,7,Sham,Low Valence - High Arousal,Set2,2.875,6.5,2.277572425,2.085270588,-1.109842227,0.682529863,8,19,15,30,53,36,35,26,76
P21,7,Sham,Low Valence - Low Arousal,Set2,3.75,3.125,3.413827025,1.427313487,-0.61263291,-0.955541809,8,19,15,30,53,36,35,26,76
P22,91,Active,High Valence - High Arousal,Set1,7.875,7.75,2.406089275,1.648102475,1.265514929,0.9733466,8,23,22,42,38,15,38,27,66
P22,91,Active,High Valence - Low Arousal,Set1,5.625,4.125,2.584443262,1.719932163,0.321296536,-0.605789143,8,23,22,42,38,15,38,27,66
P22,91,Active,Low Valence - High Arousal,Set1,3,6.75,1.680812713,2.052508988,-0.780291588,0.537722947,8,23,22,42,38,15,38,27,66
P22,91,Active,Low Valence - Low Arousal,Set1,3.125,4.5,2.84172435,1.326501012,-0.727835011,-0.442430273,8,23,22,42,38,15,38,27,66
P22,91,Sham,High Valence - High Arousal,Set1,7.125,7.75,1.49690945,2.390898,0.950775465,0.9733466,8,23,22,42,38,15,38,27,66
P22,91,Sham,High Valence - Low Arousal,Set1,5.75,3.875,3.02817755,2.435780675,0.373753114,-0.714695056,8,23,22,42,38,15,38,27,66
P22,91,Sham,Low Valence - High Arousal,Set1,2.75,5.25,7.776852987,2.851853375,-0.885204743,-0.115712533,8,23,22,42,38,15,38,27,66
P22,91,Sham,Low Valence - Low Arousal,Set1,3.625,4.125,1.804023125,2.502973075,-0.518008702,-0.605789143,8,23,22,42,38,15,38,27,66
P23,5,Active,High Valence - High Arousal,Set1,7.375,7,2.437953838,0.8308347,1.219269317,1.025341001,8,17,18,30,31,7,23,9,35
P23,5,Active,High Valence - Low Arousal,Set1,4.375,1.375,4.401561575,1.029152988,-0.039331268,-1.096054173,8,17,18,30,31,7,23,9,35
P23,5,Active,Low Valence - High Arousal,Set1,2.75,5.875,12.52998156,2.331903138,-0.721073252,0.601061966,8,17,18,30,31,7,23,9,35
P23,5,Active,Low Valence - Low Arousal,Set1,3.5,2,3.99522855,1.323089612,-0.406423106,-0.860343598,8,17,18,30,31,7,23,9,35
P23,5,Sham,High Valence - High Arousal,Set1,7.75,6.75,3.38272695,1.29564655,1.37659439,0.931056771,8,17,18,30,31,7,23,9,35
P23,5,Sham,High Valence - Low Arousal,Set1,3.875,2.75,3.245840337,1.5593907,-0.249098032,-0.577490908,8,17,18,30,31,7,23,9,35
P23,5,Sham,Low Valence - High Arousal,Set1,3.125,5.25,3.74731485,1.309192462,-0.563748179,0.365351391,8,17,18,30,31,7,23,9,35
P23,5,Sham,Low Valence - Low Arousal,Set1,3,3.25,3.336039162,1.1007773,-0.61618987,-0.388922448,8,17,18,30,31,7,23,9,35
P24,3,Active,High Valence - High Arousal,Set2,6.5,7.5,4.477093213,3.934759325,0.714434508,0.905583528,8,25,25,40,40,16,32,35,67
P24,3,Active,High Valence - Low Arousal,Set2,5.75,3.125,2.530186263,3.445380963,0.40824829,-1.030014853,8,25,25,40,40,16,32,35,67
P24,3,Active,Low Valence - High Arousal,Set2,2.5,6.5,1.974788525,2.833747613,-0.918558654,0.463161041,8,25,25,40,40,16,32,35,67
P24,3,Active,Low Valence - Low Arousal,Set2,4.125,4.125,4.23169775,4.157534437,-0.255155182,-0.587592366,8,25,25,40,40,16,32,35,67
P24,3,Sham,High Valence - High Arousal,Set2,7.625,7.875,2.940201837,2.007257075,1.173713835,1.071491961,8,25,25,40,40,16,32,35,67
P24,3,Sham,High Valence - Low Arousal,Set2,6.25,4.5,3.533732525,2.187206575,0.612372436,-0.421683933,8,25,25,40,40,16,32,35,67
P24,3,Sham,Low Valence - High Arousal,Set2,2.25,6.875,2.193996675,2.2236461,-1.020620726,0.629069474,8,25,25,40,40,16,32,35,67
P24,3,Sham,Low Valence - Low Arousal,Set2,3,3.125,2.67359375,2.276700825,-0.714434508,-1.030014853,8,25,25,40,40,16,32,35,67
P25,3,Active,High Valence - High Arousal,Set2,7.75,7.875,1.525637863,0.815523337,1.016281329,1.002881675,8,23,19,37,44,29,34,29,73
P25,3,Active,High Valence - Low Arousal,Set2,7.375,3.25,1.16446405,0.696731387,0.862880373,-0.937333853,8,23,19,37,44,29,34,29,73
P25,3,Active,Low Valence - High Arousal,Set2,2.875,7.375,1.203939225,0.8442063,-0.97793109,0.793128645,8,23,19,37,44,29,34,29,73
P25,3,Active,Low Valence - Low Arousal,Set2,4.75,2.625,1.3614769,0.969364,-0.210926314,-1.199525141,8,23,19,37,44,29,34,29,73
P25,3,Sham,High Valence - High Arousal,Set2,7.25,7.625,0.865000313,1.713622325,0.811746722,0.89800516,8,23,19,37,44,29,34,29,73
P25,3,Sham,High Valence - Low Arousal,Set2,5.625,4.5,1.461495263,1.988803775,0.147009249,-0.412951278,8,23,19,37,44,29,34,29,73
P25,3,Sham,Low Valence - High Arousal,Set2,2.375,6.75,0.997632625,1.680866037,-1.182465697,0.530937357,8,23,19,37,44,29,34,29,73
P25,3,Sham,Low Valence - Low Arousal,Set2,4.125,3.875,0.7928188,1.3988558,-0.466594572,-0.675142566,8,23,19,37,44,29,34,29,73
P27,3,Active,High Valence - High Arousal,Set1,7.25,7.5,1.134704775,2.074927775,1.107091378,0.886176364,8,17,17,52,43,13,36,21,69
P27,3,Active,High Valence - Low Arousal,Set1,5.625,3.5,0.956731975,3.829041575,0.445381589,-1.052807817,8,17,17,52,43,13,36,21,69
P27,3,Active,Low Valence - High Arousal,Set1,2.25,6.75,2.04251805,1.826788562,-0.928938743,0.52261683,8,17,17,52,43,13,36,21,69
P27,3,Active,Low Valence - Low Arousal,Set1,3.125,4.625,1.131952763,2.182391837,-0.572633472,-0.507468516,8,17,17,52,43,13,36,21,69
