"participant"	"condition"	"stimuliType"	"stimSet"	"meanValenceRating"	"meanArousalRating"	"meanValenceRT"	"meanArousalRT"	"meanZValenceRating"	"meanZArousalRating"	"Ntrial"
"P17"	"Active"	"High Valence - Low Arousal"	"Set2"	7.25	5.25	1.38917079998646	4.01810335012851	0.715209926631836	-0.292484077487873	8
"P17"	"Active"	"Low Valence - High Arousal"	"Set2"	2.75	6.875	3.01968677499099	3.14069176238263	-1.04530681584653	0.449426753213073	8
"P17"	"Active"	"Low Valence - Low Arousal"	"Set2"	4.25	3.25	1.69087825005408	2.82024322502548	-0.458467901687074	-1.20560509988904	8
"P17"	"Sham"	"High Valence - High Arousal"	"Set2"	8.25	7.5	4.12028256244957	2.46218622499146	1.10643586940481	0.734777072713437	8
"P17"	"Sham"	"High Valence - Low Arousal"	"Set2"	6.375	5.75	4.83691996254493	2.34994606242981	0.372887226705487	-0.0642038218875819	8
"P17"	"Sham"	"Low Valence - High Arousal"	"Set2"	3	7.25	3.81960786262061	2.21842776238918	-0.947500330153287	0.620636944913292	8
"P17"	"Sham"	"Low Valence - Low Arousal"	"Set2"	3.375	3.875	3.40104822488502	3.8911914001219	-0.800790601613423	-0.920254780388674	8
"P18"	"Active"	"High Valence - High Arousal"	"Set1"	8	8.5	1.37891621259041	1.60010698763654	1.33828514524608	0.706044406924555	8
"P18"	"Active"	"High Valence - Low Arousal"	"Set1"	5.625	4.875	2.45199147495441	1.25402474997099	0.4977093515378	-1.0552706727152	8
"P18"	"Active"	"Low Valence - High Arousal"	"Set1"	1.625	7.875	1.91925448761322	1.84965524997097	-0.917997248391941	0.402369393193564	8
"P18"	"Active"	"Low Valence - Low Arousal"	"Set1"	2.5	6.375	1.98864522506483	0.823784862761386	-0.60831142965731	-0.326450639760816	8
"P18"	"Sham"	"High Valence - High Arousal"	"Set1"	8.125	8.875	2.34581423754571	3.54983106249711	1.38252597649389	0.88824941516315	8
"P18"	"Sham"	"High Valence - Low Arousal"	"Set1"	4	4.625	5.92119749996345	5.11855258746073	-0.0774214546836577	-1.17674067820759	8
"P18"	"Sham"	"Low Valence - High Arousal"	"Set1"	2	8	3.19454097491689	3.22541171248304	-0.785274754648528	0.463104395939762	8
"P18"	"Sham"	"Low Valence - Low Arousal"	"Set1"	1.875	7.25	2.58280740008922	7.49337217508582	-0.829515585896333	0.0986943794625722	8
"P19"	"Active"	"High Valence - High Arousal"	"Set1"	7.75	7.5	6.16674949997105	3.35519626247697	1.22926938590472	0.956474051083718	8
"P19"	"Active"	"High Valence - Low Arousal"	"Set1"	4.125	2.25	6.22421923745424	7.69209241250064	-0.1551505050171	-1.25990719832407	8
"P19"	"Active"	"Low Valence - High Arousal"	"Set1"	2	5.5	3.29989227489568	3.31893493747339	-0.966706992798855	0.112138337023608	8
"P19"	"Active"	"Low Valence - Low Arousal"	"Set1"	3	4.375	5.93572167493403	2.76126511255279	-0.584798057372147	-0.362800502135203	8
"P19"	"Sham"	"High Valence - High Arousal"	"Set1"	8.625	8.25	1.39885218744166	3.18913668766618	1.56343970440309	1.27309994385626	8
"P19"	"Sham"	"High Valence - Low Arousal"	"Set1"	5.375	3.125	3.08820388757158	6.42577457497828	0.322235664266285	-0.890510323422772	8
"P19"	"Sham"	"Low Valence - High Arousal"	"Set1"	2.25	6.75	3.53354471246712	3.09820061246864	-0.871229758942178	0.639848158311177	8
"P19"	"Sham"	"Low Valence - Low Arousal"	"Set1"	3.125	4.125	3.12511215009727	3.69806874997448	-0.537059440443808	-0.468342466392717	8
"P20"	"Active"	"High Valence - High Arousal"	"Set1"	7.875	7	3.80912372469902	1.96817353763618	1.36540127880924	0.756512423236808	8
"P20"	"Active"	"High Valence - Low Arousal"	"Set1"	5	4.125	4.07656095002312	2.7923777498072	-0.537885352258186	-0.983466150207851	8
"P20"	"Active"	"Low Valence - High Arousal"	"Set1"	4.5	7.25	3.06502668769099	1.90197606245056	-0.868891722878608	0.90781490788417	8
"P20"	"Active"	"Low Valence - Low Arousal"	"Set1"	5.625	5.625	4.77016395004466	2.24446181266103	-0.124127388982658	-0.0756512423236809	8
"P20"	"Sham"	"High Valence - High Arousal"	"Set1"	7.375	6.5	2.67094459978398	4.0739946749527	1.03439490818882	0.453907453942085	8
"P20"	"Sham"	"High Valence - Low Arousal"	"Set1"	5.5	4	5.31113923736848	5.56323351233732	-0.206878981637764	-1.05911739253153	8
"P20"	"Sham"	"Low Valence - High Arousal"	"Set1"	5.375	6.625	2.86847463739105	3.67240066255908	-0.28963057429287	0.529558696265766	8
"P20"	"Sham"	"Low Valence - Low Arousal"	"Set1"	5.25	4.875	3.0978295126697	3.9838254249189	-0.372382166947975	-0.529558696265766	8
"P21"	"Active"	"High Valence - High Arousal"	"Set2"	6.5	7	2.89489947480615	5.00454075017478	0.950024946669963	0.925207148220595	8
"P21"	"Active"	"High Valence - Low Arousal"	"Set2"	5.5	3.25	1.740363825229	2.93383180000819	0.381785726231854	-0.894872487623198	8
"P21"	"Active"	"Low Valence - High Arousal"	"Set2"	3.125	6.75	1.79166702495422	2.63673452520743	-0.967782422308654	0.803868505831008	8
"P21"	"Active"	"Low Valence - Low Arousal"	"Set2"	4.125	3.375	2.30795809987467	4.72443973761983	-0.399543201870545	-0.834203166428405	8
"P21"	"Sham"	"High Valence - High Arousal"	"Set2"	7.125	7.25	2.84635713754687	2.74677926267032	1.30517445944378	1.04654579061018	8
"P21"	"Sham"	"High Valence - Low Arousal"	"Set2"	5.625	3.5	3.80350613745395	2.11907572497148	0.452815628786618	-0.773533845233612	8
"P21"	"Sham"	"Low Valence - High Arousal"	"Set2"	2.875	6.5	2.27757242519874	2.08527058758773	-1.10984222741818	0.682529863441422	8
"P21"	"Sham"	"Low Valence - Low Arousal"	"Set2"	3.75	3.125	3.41382702509873	1.42731348739471	-0.612632909534836	-0.955541808817991	8
"P22"	"Active"	"High Valence - High Arousal"	"Set1"	7.875	7.75	2.40608927514404	1.64810247474816	1.2655149290298	0.973346600157527	8
"P22"	"Active"	"High Valence - Low Arousal"	"Set1"	5.625	4.125	2.58444326242898	1.71993216266856	0.321296536385803	-0.605789142755384	8
"P22"	"Active"	"Low Valence - High Arousal"	"Set1"	3	6.75	1.68081271264236	2.05250898760278	-0.780291588365522	0.537722946940172	8
"P22"	"Active"	"Low Valence - Low Arousal"	"Set1"	3.125	4.5	2.84172435023356	1.32650101243053	-0.727835010996412	-0.442430272798876	8
"P22"	"Sham"	"High Valence - High Arousal"	"Set1"	7.125	7.75	1.49690945027396	2.39089799998328	0.950775464815132	0.973346600157527	8
"P22"	"Sham"	"High Valence - Low Arousal"	"Set1"	5.75	3.875	3.02817754994612	2.43578067503404	0.373753113754914	-0.714695056059723	8
"P22"	"Sham"	"Low Valence - High Arousal"	"Set1"	2.75	5.25	7.77685298735742	2.85185337497387	-0.885204743103744	-0.11571253288586	8
"P22"	"Sham"	"Low Valence - Low Arousal"	"Set1"	3.625	4.125	1.80402312497608	2.5029730751412	-0.518008701519969	-0.605789142755384	8
"P23"	"Active"	"High Valence - High Arousal"	"Set1"	7.375	7	2.43795383756515	0.830834699911065	1.21926931656523	1.02534100058945	8
"P23"	"Active"	"High Valence - Low Arousal"	"Set1"	4.375	1.375	4.40156157512683	1.02915298764128	-0.0393312682762977	-1.09605417304389	8
"P23"	"Active"	"Low Valence - High Arousal"	"Set1"	2.75	5.875	12.5299815624021	2.33190313761588	-0.721073251732125	0.60106196586278	8
"P23"	"Active"	"Low Valence - Low Arousal"	"Set1"	3.5	2	3.99522855004761	1.32308961241506	-0.406423105521743	-0.860343598195744	8
"P23"	"Sham"	"High Valence - High Arousal"	"Set1"	7.75	6.75	3.38272694987245	1.29564654978458	1.37659438967042	0.931056770650188	8
"P23"	"Sham"	"High Valence - Low Arousal"	"Set1"	3.875	2.75	3.24584033736028	1.55939070007298	-0.249098032416552	-0.577490908377965	8
"P23"	"Sham"	"Low Valence - High Arousal"	"Set1"	3.125	5.25	3.74731484986842	1.30919246247504	-0.563748178626934	0.365351391014631	8
"P23"	"Sham"	"Low Valence - Low Arousal"	"Set1"	3	3.25	3.33603916247375	1.10077729995828	-0.616189869661998	-0.388922448499446	8
"P24"	"Active"	"High Valence - High Arousal"	"Set2"	6.5	7.5	4.47709321253933	3.93475932476576	0.71443450831176	0.905583528458791	8
"P24"	"Active"	"High Valence - Low Arousal"	"Set2"	5.75	3.125	2.5301862625638	3.44538096268661	0.408248290463863	-1.03001485297985	8
"P24"	"Active"	"Low Valence - High Arousal"	"Set2"	2.5	6.5	1.97478852490894	2.83374761254527	-0.918558653543692	0.463161041272817	8
"P24"	"Active"	"Low Valence - Low Arousal"	"Set2"	4.125	4.125	4.23169774992857	4.1575344374869	-0.255155181539914	-0.587592365793872	8
"P24"	"Sham"	"High Valence - High Arousal"	"Set2"	7.625	7.875	2.94020183745306	2.00725707493257	1.17371383508361	1.07149196115353	8
"P24"	"Sham"	"High Valence - Low Arousal"	"Set2"	6.25	4.5	3.53373252518941	2.18720657518134	0.612372435695795	-0.421683933099132	8
"P24"	"Sham"	"Low Valence - High Arousal"	"Set2"	2.25	6.875	2.19399667507969	2.22364610002842	-1.02062072615966	0.629069473967557	8
"P24"	"Sham"	"Low Valence - Low Arousal"	"Set2"	3	3.125	2.67359374999069	2.27670082508121	-0.71443450831176	-1.03001485297985	8
"P25"	"Active"	"High Valence - High Arousal"	"Set2"	7.75	7.875	1.52563786250539	0.815523337456398	1.01628132874588	1.00288167519676	8
"P25"	"Active"	"High Valence - Low Arousal"	"Set2"	7.375	3.25	1.16446405008901	0.696731387404725	0.862880373463487	-0.937333853288477	8
"P25"	"Active"	"Low Valence - High Arousal"	"Set2"	2.875	7.375	1.20393922494259	0.844206299865618	-0.977931089925286	0.793128645090249	8
"P25"	"Active"	"Low Valence - Low Arousal"	"Set2"	4.75	2.625	1.36147690017242	0.969363999785855	-0.210926313513297	-1.19952514092162	8
"P25"	"Sham"	"High Valence - High Arousal"	"Set2"	7.25	7.625	0.865000312565826	1.71362232498359	0.811746721702688	0.898005160143505	8
"P25"	"Sham"	"High Valence - Low Arousal"	"Set2"	5.625	4.5	1.46149526257068	1.98880377493333	0.147009248812298	-0.412951278022196	8
"P25"	"Sham"	"Low Valence - High Arousal"	"Set2"	2.375	6.75	0.997632624930702	1.68086603737902	-1.18246569696848	0.530937357457109	8
"P25"	"Sham"	"Low Valence - Low Arousal"	"Set2"	4.125	3.875	0.792818800196983	1.39885579992551	-0.466594572317293	-0.675142565655336	8
"P26"	"Active"	"High Valence - High Arousal"	"Set2"	9	9	1.9276510750642	0.460541549953632	0.847542153938494	0.96162149991091	8
"P26"	"Active"	"High Valence - Low Arousal"	"Set2"	9	1	2.38486316264607	1.30073154997081	0.847542153938494	-1.02366159667936	8
"P26"	"Active"	"Low Valence - High Arousal"	"Set2"	1	9	2.70679880003445	2.7473745624302	-1.1614466553972	0.96162149991091	8
"P26"	"Active"	"Low Valence - Low Arousal"	"Set2"	2	1	4.10672659997363	1.47038821247406	-0.910323054230235	-1.02366159667936	8
"P26"	"Sham"	"High Valence - High Arousal"	"Set2"	9	9	0.720785712590441	2.01252019987442	0.847542153938494	0.96162149991091	8
"P26"	"Sham"	"High Valence - Low Arousal"	"Set2"	9	1	1.46944553731009	3.08311583753675	0.847542153938494	-1.02366159667936	8
"P26"	"Sham"	"Low Valence - High Arousal"	"Set2"	2	9	1.73964191251434	2.49397907487582	-0.910323054230235	0.96162149991091	8
"P26"	"Sham"	"Low Valence - Low Arousal"	"Set2"	4	2	1.2736631501466	2.40244918735698	-0.408075851896312	-0.775501209605573	8
"P27"	"Active"	"High Valence - High Arousal"	"Set1"	7.25	7.5	1.13470477506053	2.07492777507287	1.10709137839586	0.88617636393232	8
"P27"	"Active"	"High Valence - Low Arousal"	"Set1"	5.625	3.5	0.956731975078583	3.8290415747324	0.445381589009828	-1.05280781697942	8
"P27"	"Active"	"Low Valence - High Arousal"	"Set1"	2.25	6.75	2.04251805006061	1.82678856234998	-0.928938742791927	0.522616830011368	8
"P27"	"Active"	"Low Valence - Low Arousal"	"Set1"	3.125	4.625	1.13195276260376	2.18239183735568	-0.572633471584064	-0.507468516097995	8
"P27"	"Sham"	"High Valence - High Arousal"	"Set1"	7.875	7.75	1.65245949989185	1.59118431271054	1.36159514354433	1.0073628752393	8
"P27"	"Sham"	"High Valence - Low Arousal"	"Set1"	5.5	3.5	3.02231583767571	2.37936244986486	0.394480835980133	-1.05280781697942	8
"P27"	"Sham"	"Low Valence - High Arousal"	"Set1"	2.5	7.125	4.89014633733314	2.97813014988787	-0.827137236732537	0.704396596971844	8
"P27"	"Sham"	"Low Valence - Low Arousal"	"Set1"	2.125	4.625	2.26917261246126	3.23798931238707	-0.979839495821621	-0.507468516097995	8
"P30"	"Active"	"High Valence - High Arousal"	"Set1"	7.625	7.25	1.99042052472942	2.91204819991253	1.21282070965215	0.935594216774312	8
"P30"	"Active"	"High Valence - Low Arousal"	"Set1"	5.875	3.25	2.8952524124179	3.88099342491478	0.516226250775019	-0.825524308918511	8
"P30"	"Active"	"Low Valence - High Arousal"	"Set1"	2.25	6.375	1.9198948123958	4.26759387459606	-0.926719414041901	0.550349539279007	8
"P30"	"Active"	"Low Valence - Low Arousal"	"Set1"	2.375	3.625	1.58006985008251	3.3885568875121	-0.876962666979249	-0.660419447134808	8
